model,method,budget,train_dataset,val_dataset,num_train_samples,epochs,batch_size,lr,train_loss,val_nll,val_ppl,run_time_seconds,storage_mb
pythia-160m,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,0,0,0,0.0,0.0,4.2516742012938895,70.2228775024414,0.0,0.0
real_full_kd,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.5282,4.017574268624601,55.56615447998047,1250.19,0.0
pythia-1.4b,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,0,0,0,0.0,0.0,2.9109428971443227,18.374113082885742,0.0,0.0
real_topk_k4,topk,8,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,0.99,4.193951822916667,66.2842025756836,397.91,2689.244867324829 # Org KD (no mask, alpha=0.1)
real_topk_k8,topk,16,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.053,4.217588727805802,67.86964416503906,397.88,2689.244867324829 
real_topk_k16,topk,32,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.1882,4.200756838164045,66.73683166503906,397.9,2689.244867324829 
real_topk_k4,topk,8,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.751,4.190158347405096,66.03324890136719,461.34,2689.244867324829 # Improved KD (mask, alpha=0.1)
real_topk_k8,topk,16,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.7011,4.131482602670428,62.27017593383789,461.05,2689.244867324829
real_topk_k16,topk,32,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,1.8641,4.098225524039558,60.233314514160156,461.0,2689.244867324829
real_topk_k4,topk,8,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,2.7164,3.974378820750684,53.21704864501953,461.42,2689.244867324829 # Improved KD (mask, alpha=0.5)
real_topk_k8,topk,16,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,2.8923,3.969679560141644,52.96755599975586,461.45,2689.244867324829
real_topk_k16,topk,32,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,2.8493,3.9601506791851917,52.465232849121094,461.54,2689.244867324829
real_sampling_k4,sampling,100,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,6.7479,6.2984303661508205,543.7178344726562,461.28,1294.8233423233032
real_sampling_k8,sampling,100,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,6.8052,6.3301745789158685,561.2545166015625,460.04,2290.838967323303
real_sampling_k16,sampling,100,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,6.7185,6.333392140831624,563.0633544921875,460.37,4282.870247840881
real_full_kd,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-06,2.7293,3.935875882602314,51.20698165893555,1252.41,0.0 # Full KD (alpha=0.5)
real_full_kd,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-05,2.6269,3.821185675123974,45.65830993652344,1257.54,0.0 # Full KD LR (5e-5)
real_topk_k4,topk,8,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-05,2.8538,3.9117934149495555,49.988525390625,466.86,2689.244867324829 # Top-k LR Schedule (5e-5)
real_topk_k8,topk,16,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-05,2.5657,3.8118045387668147,45.23198699951172,467.07,2689.244867324829
real_topk_k16,topk,32,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-05,2.735,3.7356041550886343,41.913333892822266,466.97,2689.244867324829
real_full_kd,full,50277,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,1,16,5e-05,2.5214,3.7009108081822846,40.484161376953125,1256.8,0.0 # Full KD LR Schedule (5e-5)
real_topk_k4,topk,8,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,3,16,5e-05,2.6859,3.7345450545770635,41.86896896362305,1395.98,2689.244867324829
real_topk_k8,topk,16,wikitext-103-raw-v1,wikitext-103-raw-v1,200000,3,16,5e-05,2.6062,3.701959831352599,40.52665328979492,1396.0,2689.244867324829
